Key,Shared Comments,English(en),English(en) Comments,Korean(ko),Korean(ko) Comments
"Slot_MoveSuccess","ItemStorageData","Moved {0} items from {1} to {2}.","","{0}개 아이템이 {1} → {2}로 이동되었습니다.",""
"Currency_NoTypeInfo","PlayerData","No currency type info.","","재화 타입 정보가 없습니다.",""
"Currency_NotEnough","PlayerData","Not enough {0}.","","{0} 가 부족합니다.",""
"QuickSlot_NoSkillInfo","QuickSlotData","No skill info.","","스킬 정보가 없습니다.",""
"QuickSlot_SkillAlreadyAssigned","QuickSlotData","Skill is already assigned.","","이미 등록된 스킬입니다.",""
"QuickSlot_NotEnoughSpace","QuickSlotData","Not enough quick slot space.","","퀵슬롯에 공간이 부족합니다.",""
"QuickSlot_SkillNotLearned","QuickSlotData","Skill not learned yet.","","아직 스킬을 배우지 않았습니다.",""
"SaveSlot_NotSelected","SceneIntro","No save slot selected.\nPlease load first.","","선택된 슬롯이 없습니다.\n불러오기를 해주세요.",""
"SaveSlot_NoEmptySlot","SceneIntro","No empty save slot left.\nPlease delete existing data.","","남은 저장 슬롯이 없습니다.\n저장되어있는 데이터를 지워주세요.",""
"SaveSlot_ConfirmDeleteWarning","SceneIntro","Deleted data cannot be recovered.\nAre you sure you want to delete it?","","삭제한 데이터는 복구할 수 없습니다.\n정말로 삭제하시겠습니까?",""
"Inventory_SelectItemToSplit","UIWindowInventory","Please select an item to split.","","나누기를 할 아이템을 선택해주세요.",""
"Inventory_Split_MinimumTwo","UIWindowInventory","You can only split items with at least 2 count.","","아이템 개수가 2개 이상일때만 나눌 수 있습니다.",""
"LoadSave_NoSlotSelected","UIWindowLoadSaveData","No save slot selected.","","선택된 슬롯이 없습니다.",""
"Window_NoEmptySpace","UIWindow","No empty space in window.","","윈도우에 빈 공간이 없습니다.",""
"System_PlayerDied_MoveToTown","SceneGame","Player has died.\nReturning to town.","","플레이어가 사망하였습니다.\n마을로 이동합니다.",""
"Popup_Title_Change_Key","","Change Key","","키 변경하기",""
"Popup_Message_Change_Key","","Please press the key you want to change.\nIf you want to cancel, press ESC.","","변경하고 싶은 키를 눌러주세요.\n취소하고 싶은 경우 ESC키를 눌러주세요.",""
"Popup_Title_Save","","Save","","저장하기",""
"Popup_Message_Save","","You have not saved your changes.\nDo you want to save them?","","변경한 내용을 저장하지 않았습니다.\n저장하시겠습니까?",""
"System_PlayerDied_MoveToTown_Title","","You Die","","게임 종료",""
"System_Info_Title","","System Info","","알림",""
"SaveSlot_ConfirmDeleteWarning_Title","","Delete Slot","","슬롯 삭제",""
"QuickSlot_ItemAlreadyAssigned","","Item is already assigned.","","이미 등록된 아이템입니다.",""
"Simulation_Tool_CannotUseHere","","You cannot use tools or seeds here.","","도구(씨앗)을 사용할 수 없는 위치입니다.",""
"System_Game_Exit_Title","","Game Exit","","게임 종료",""
"System_Game_Exit","","Are you sure you want to quit?\nAny unsaved progress will be lost.","","종료하시겠습니까?\n저장되지 않은 진행 상황을 잃게 됩니다.",""
"System_Save_Game_By_Sleep","","Saved as you went to sleep.","","잠자리에 들며 저장했습니다.",""
"Tcg_System_MaxDeckCount","","You can create up to {0} decks.","","최대 {0}개의 덱을 생성할 수 있습니다.",""
"Tcg_System_MaxCardCountInDeck","","Each deck can contain up to {0} cards.","","한 덱에는 최대 {0}장의 카드를 넣을 수 있습니다.",""
"Tcg_System_MaxCardCopies","","You can add up to {0} copies of this card.","","해당 카드는 최대 {0}장까지 추가할 수 있습니다.",""
"Tcg_Popup_DeleteDeck","","Delete Deck","","덱 삭제하기",""
"Tcg_Popup_ConfirmDeleteDeckWarning","","Are you sure you want to delete this deck?","","정말로 덱을 삭제하시겠습니까?",""
"Error_Tcg_CreateUnitFailed","","Failed to create unit.","","유닛 생성에 실패했습니다.",""
"Error_Tcg_InvalidContext","","Invalid battle context.","","전투 컨텍스트가 올바르지 않습니다.",""
"Error_Tcg_NoAttackedInThisTurn","","No attack has been made this turn.","","이번 턴에 공격이 발생하지 않았습니다.",""
"Error_Tcg_NoAttackerOnField","","No attacker on the field.","","필드에 공격자가 없습니다.",""
"Error_Tcg_NoAttackerOrTarget","","No attacker or target found.","","공격자 또는 대상이 없습니다.",""
"Error_Tcg_NoBattleSession","","Battle session not found.","","전투 세션을 찾을 수 없습니다.",""
"Error_Tcg_NoCard","","Card not found.","","카드를 찾을 수 없습니다.",""
"Error_Tcg_NoCardInHand","","No card in hand.","","손패에 카드가 없습니다.",""
"Error_Tcg_NoPermanentDetail","","Permanent card detail not found.","","Permanent 카드 상세 정보를 찾을 수 없습니다.",""
"Error_Tcg_NoTargetOnField","","No valid target on the field.","","필드에 유효한 대상이 없습니다.",""
"Error_Tcg_NoTargetOnHero","","No valid hero target.","","영웅 대상이 존재하지 않습니다.",""
"Error_Tcg_NotEnoughMana","","Not enough mana.","","마나가 부족합니다.",""
"Error_Tcg_TargetRequired","","Target is required.","","대상이 필요합니다.",""
"System_Tcg_CreateDeckFirst","","Please create a deck first and add cards.","","먼저 덱을 생성하고"," 카드를 추가해주세요."
"System_Tcg_BattleEnded","","The battle has ended.","","전투가 종료되었습니다.",""
"System_Tcg_WinnerPlayer","","The winner is the player.","","승자는 플레이어 입니다.",""
"System_Tcg_WinnerAi","","The winner is the AI.","","승자는 AI 입니다.",""
"System_Tcg_BattleEndTitle","","Battle End","","전투 종료",""
"System_Tcg_AddHeroCard","","Please add a hero card.","","영웅 카드를 추가해주세요.",""
"System_Tcg_Save","","Save","","저장",""
"System_Tcg_SaveCompleted","","Saved successfully.","","저장되었습니다.",""
