Uid	Name	Type	Category	SubCategory	PartsID	Class	ImagePath	Upgrade	MaxOverlayCount	CoolTime	SaleCurrencyType	SaleCurrencyValue	AntiFlag	Description	StatusID1	StatusSuffix1	StatusValue1	StatusID2	StatusSuffix2	StatusValue2	OptionType1	OptionSuffix1	OptionValue1	OptionType2	OptionSuffix2	OptionValue2	OptionType3	OptionSuffix3	OptionValue3	OptionType4	OptionSuffix4	OptionValue4	OptionType5	OptionSuffix5	OptionValue5
201031001	ATK Speed Potion	Consumable	Potion	IncreaseAttackSpeed	None	Normal	AttackSpeedPotion1	0	999	3	Gold	200	None	None	AFFECT_UID	NONE	110002	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
201041002	Move Speed Potion	Consumable	Potion	IncreaseMoveSpeed	None	Normal	MoveSpeedPotion1	0	999	3	Gold	210	None	None	AFFECT_UID	NONE	110001	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
# 재료																																			
401011001	Arandula	Misc	Material	None	None	Normal	Arandula	0	999	0	Gold	10	Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011002	Kekik	Misc	Material	None	None	Normal	Kekik	0	999	0	Gold	10	Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011003	Kokuda	Misc	Material	None	None	Normal	Kokuda	0	999	0	Gold	10	Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011004	Mandragora	Misc	Material	None	None	Normal	Mandragora	0	999	0	Gold	10	Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011005	Sclaria	Misc	Material	None	None	Normal	Sclaria	0	999	0	Gold	10	Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011006	Rock1	Misc	Material	None	None	Normal	Rock1	0	999	0	Gold	10	Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011007	Rock2	Misc	Material	None	None	Normal	Rock2	0	999	0	Gold	10	Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011008	Rock3	Misc	Material	None	None	Normal	Rock3	0	999	0	Gold	10	Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011009	GoldBar1	Misc	Material	None	None	Normal	GoldBar1	0	999	0	Gold	10	Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011010	GoldBar2	Misc	Material	None	None	Normal	GoldBar2	0	999	0	Gold	10	Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011011	GoldBar3	Misc	Material	None	None	Normal	GoldBar3	0	999	0	Gold	10	Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011012	SilverBar1	Misc	Material	None	None	Normal	SilverBar1	0	999	0	Gold	10	Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011013	SilverBar2	Misc	Material	None	None	Normal	SilverBar2	0	999	0	Gold	10	Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011014	SilverBar3	Misc	Material	None	None	Normal	SilverBar3	0	999	0	Gold	10	Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011015	BronzeBar1	Misc	Material	None	None	Normal	BronzeBar1	0	999	0	Gold	10	Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011016	BronzeBar2	Misc	Material	None	None	Normal	BronzeBar2	0	999	0	Gold	10	Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
401011017	BronzeBar3	Misc	Material	None	None	Normal	BronzeBar3	0	999	0	Gold	10	Salvage	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
